"Country","YPLL Rank","Life Expectancy Rank","Infant Mortality Rank","WHO Rank (2000)"
"Mexico",29,26,29,27
"Hungary",28,29,27,29
"United States",27,23,24,22
"Slovakia",26,28,28,28
"Poland",25,27,25,25
"Portugal",24,24,22,7
"Belgium",23,15,9,15
"New Zealand",22,10,23,23
"United Kingdom",21,16,18,12
"Canada",20,8,19,18
"Denmark",19,22,13,21
"Czech Republic",18,25,6,24
"Luxembourg",17,20,16,10
"Australia",16,4,15,20
"Ireland",15,19,20,13
"Netherlands",14,13,17,11
"Finland",13,18,5,19
"France",12,7,10,1
"South Korea",11,21,8,26
"Germany",10,17,12,17
"Norway",9,11,4,6
"Switzerland",8,3,7,14
"Austria",7,12,14,4
"Greece",6,14,26,8
"Sweden",5,6,3,16
"Spain",4,5,11,3
"Italy",3,9,21,2
"Japan",2,1,2,5
"Iceland",1,2,1,9
